layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1214,0.0944,0.6081,0.5484,0.4372,0.4346,2.0283,
"[32, 32, 32]",0.1157,0.0926,0.6263,0.5536,0.4574,0.4536,2.0908,
"[32, 32, 32, 32]",0.1175,0.0929,0.6396,0.5648,0.4833,0.4755,2.1632,
"[32, 32, 32, 32, 32]",0.1142,0.0924,0.6566,0.5698,0.5073,0.5105,2.2441,MAX
"[64, 64]",0.1179,0.0921,0.6195,0.554,0.4614,0.4405,2.0754,
"[64, 64, 64]",0.1166,0.0916,0.6344,0.5625,0.472,0.4688,2.1378,
"[64, 64, 64, 64]",0.1113,0.0907,0.6476,0.5705,0.5081,0.4946,2.2208,
"[64, 64, 64, 64, 64]",0.1142,0.0927,0.6413,0.5643,0.4996,0.5015,2.2067,
"[128, 128]",0.1185,0.0923,0.6194,0.5555,0.4356,0.4291,2.0397,
"[128, 128, 128]",0.117,0.0916,0.6341,0.5614,0.4607,0.4589,2.1152,
"[128, 128, 128, 128]",0.1141,0.0914,0.6442,0.5732,0.479,0.4836,2.18,
"[128, 128, 128, 128, 128]",0.1132,0.0908,0.648,0.5732,0.497,0.4943,2.2125,
