layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1232,0.0932,0.6192,0.5222,0.4557,0.4616,2.0587,
"[32, 32, 32]",0.117,0.0931,0.6386,0.56,0.4878,0.4902,2.1766,
"[32, 32, 32, 32]",0.1186,0.0925,0.6126,0.5628,0.4635,0.4246,2.0635,
"[32, 32, 32, 32, 32]",0.121,0.0932,0.6576,0.5733,0.5342,0.5302,2.2953,MAX
"[32, 32, 32, 32, 32, 32]",0.1176,0.0937,0.654,0.5796,0.5316,0.5164,2.2815,
"[64, 64]",0.1283,0.0969,0.6095,0.5295,0.4199,0.4286,1.9875,
"[64, 64, 64]",0.1217,0.0951,0.6364,0.5622,0.4919,0.481,2.1716,
"[64, 64, 64, 64]",0.1189,0.0935,0.6476,0.5667,0.5158,0.5124,2.2425,
"[64, 64, 64, 64, 64]",0.1106,0.0895,0.648,0.5779,0.5202,0.5084,2.2545,
"[64, 64, 64, 64, 64, 64]",0.1144,0.0925,0.648,0.5779,0.5214,0.5134,2.2607,
"[128, 128]",0.1326,0.0993,0.5839,0.3922,0.3387,0.3696,1.6845,
"[128, 128, 128]",0.1191,0.0933,0.629,0.5485,0.4498,0.4451,2.0723,
"[128, 128, 128, 128]",0.1112,0.0899,0.6518,0.5719,0.5098,0.5033,2.2369,
"[128, 128, 128, 128, 128]",0.1155,0.0915,0.6566,0.5885,0.5124,0.5167,2.2742,
"[128, 128, 128, 128, 128, 128]",0.1207,0.0941,0.6081,0.5607,0.425,0.4069,2.0008,
