layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1479,0.1074,0.4124,0.4672,0.2329,0.2073,1.3199,
"[32, 32, 32]",0.1323,0.0983,0.5836,0.4947,0.2985,0.4025,1.7792,
"[32, 32, 32, 32]",0.1204,0.0937,0.6219,0.547,0.4145,0.4555,2.0388,
"[32, 32, 32, 32, 32]",0.1095,0.0891,0.6619,0.5944,0.5495,0.5306,2.3364,
"[32, 32, 32, 32, 32, 32]",0.1153,0.0918,0.641,0.5794,0.5113,0.5138,2.2455,
"[64, 64]",0.1509,0.1087,0.385,0.434,0.2375,0.1927,1.2492,
"[64, 64, 64]",0.1114,0.0897,0.6503,0.5681,0.5088,0.4772,2.2043,
"[64, 64, 64, 64]",0.1194,0.0928,0.6524,0.5701,0.491,0.4878,2.2013,
"[64, 64, 64, 64, 64]",0.1109,0.0888,0.6575,0.5931,0.5272,0.511,2.2888,
"[64, 64, 64, 64, 64, 64]",0.11,0.0883,0.6552,0.5854,0.5408,0.5266,2.3081,
"[128, 128]",0.1484,0.1073,0.3958,0.478,0.2513,0.2028,1.328,
"[128, 128, 128]",0.1426,0.1037,0.5789,0.5312,0.3203,0.3561,1.7866,
"[128, 128, 128, 128]",0.1096,0.0888,0.662,0.5871,0.5159,0.5011,2.2661,
"[128, 128, 128, 128, 128]",0.1075,0.0864,0.6611,0.5998,0.5479,0.5295,2.3383,MAX
"[128, 128, 128, 128, 128, 128]",0.1314,0.0999,0.5939,0.5419,0.3369,0.3911,1.8638,
