layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1306,0.098,0.5841,0.5008,0.2734,0.3536,1.712,
"[32, 32, 32]",0.1213,0.0947,0.6226,0.5619,0.4558,0.4559,2.0962,
"[32, 32, 32, 32]",0.1191,0.0941,0.6443,0.5701,0.5004,0.4957,2.2105,
"[32, 32, 32, 32, 32]",0.1262,0.0965,0.6493,0.5654,0.5193,0.5158,2.2498,MAX
"[32, 32, 32, 32, 32, 32]",0.12,0.0946,0.6389,0.5576,0.5092,0.5034,2.2091,
"[64, 64]",0.1269,0.0957,0.607,0.5337,0.3769,0.4035,1.9211,
"[64, 64, 64]",0.1237,0.0974,0.6204,0.5589,0.446,0.4645,2.0899,
"[64, 64, 64, 64]",0.1174,0.0926,0.6397,0.5613,0.4953,0.4865,2.1827,
"[64, 64, 64, 64, 64]",0.1221,0.0948,0.6358,0.5559,0.4967,0.461,2.1494,
"[64, 64, 64, 64, 64, 64]",0.1192,0.0941,0.6242,0.5689,0.4675,0.4828,2.1435,
"[128, 128]",0.1271,0.095,0.6102,0.5151,0.4081,0.4102,1.9436,
"[128, 128, 128]",0.1274,0.0953,0.635,0.5549,0.4457,0.4437,2.0793,
"[128, 128, 128, 128]",0.1252,0.0945,0.6171,0.5422,0.4714,0.4722,2.1029,
"[128, 128, 128, 128, 128]",0.1142,0.09,0.6449,0.5671,0.5175,0.5081,2.2376,
"[128, 128, 128, 128, 128, 128]",0.129,0.0976,0.6166,0.5418,0.4384,0.4107,2.0075,
