layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1505,0.1081,0.3881,0.4533,0.2122,0.1781,1.2317,
"[32, 32, 32]",0.1151,0.0925,0.6429,0.55,0.4837,0.4812,2.1578,
"[32, 32, 32, 32]",0.1236,0.0946,0.6567,0.5746,0.5048,0.4986,2.2347,
"[32, 32, 32, 32, 32]",0.1096,0.0894,0.6523,0.5802,0.5301,0.5125,2.275,MAX
"[32, 32, 32, 32, 32, 32]",0.1224,0.0951,0.6419,0.5755,0.486,0.5001,2.2035,
"[64, 64]",0.1532,0.1099,0.3778,0.4332,0.1992,0.1604,1.1706,
"[64, 64, 64]",0.1271,0.0964,0.6262,0.5353,0.4837,0.4787,2.1239,
"[64, 64, 64, 64]",0.1159,0.0921,0.6591,0.5747,0.5117,0.5005,2.2459,
"[64, 64, 64, 64, 64]",0.1113,0.089,0.6422,0.597,0.5186,0.4853,2.2432,
"[64, 64, 64, 64, 64, 64]",0.1305,0.0969,0.6161,0.5555,0.4836,0.4951,2.1503,
"[128, 128]",0.1589,0.1126,0.3784,0.4469,0.1594,0.1475,1.1322,
"[128, 128, 128]",0.1448,0.1062,0.5818,0.5064,0.3465,0.3928,1.8275,
"[128, 128, 128, 128]",0.1133,0.0912,0.6464,0.5771,0.5105,0.5016,2.2357,
"[128, 128, 128, 128, 128]",0.1181,0.091,0.6495,0.5747,0.4905,0.4966,2.2113,
"[128, 128, 128, 128, 128, 128]",0.1281,0.0962,0.5952,0.5381,0.4519,0.4551,2.0403,
