layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1507,0.1085,0.397,0.4427,0.2306,0.2059,1.2762,
"[32, 32, 32]",0.1473,0.1043,0.5756,0.5016,0.3163,0.4136,1.807,
"[32, 32, 32, 32]",0.1254,0.0957,0.6153,0.5356,0.3812,0.4395,1.9716,
"[32, 32, 32, 32, 32]",0.1141,0.0907,0.6299,0.5677,0.4808,0.4842,2.1626,
"[32, 32, 32, 32, 32, 32]",0.1224,0.0956,0.6182,0.5646,0.4371,0.4449,2.0649,
"[64, 64]",0.1526,0.1071,0.3892,0.4512,0.2286,0.1983,1.2673,
"[64, 64, 64]",0.1271,0.0976,0.6097,0.5338,0.373,0.3968,1.9134,
"[64, 64, 64, 64]",0.1116,0.0892,0.6534,0.5762,0.5094,0.4975,2.2365,
"[64, 64, 64, 64, 64]",0.1122,0.0901,0.6517,0.5887,0.5193,0.4942,2.2539,
"[64, 64, 64, 64, 64, 64]",0.1153,0.0919,0.6356,0.5728,0.5038,0.4781,2.1904,
"[128, 128]",0.1508,0.1086,0.364,0.4668,0.2582,0.216,1.3051,
"[128, 128, 128]",0.1163,0.0922,0.6371,0.543,0.3988,0.455,2.034,
"[128, 128, 128, 128]",0.1103,0.0888,0.6589,0.5762,0.5102,0.4956,2.2409,
"[128, 128, 128, 128, 128]",0.1091,0.0886,0.6538,0.5887,0.5146,0.5047,2.2618,MAX
"[128, 128, 128, 128, 128, 128]",0.1236,0.0954,0.608,0.5571,0.415,0.4266,2.0068,
