layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1543,0.1107,0.3577,0.4355,0.1897,0.128,1.1109,
"[32, 32, 32]",0.1178,0.0913,0.6448,0.5695,0.4879,0.4797,2.1819,
"[32, 32, 32, 32]",0.1134,0.0909,0.6524,0.5781,0.5237,0.5007,2.2548,
"[32, 32, 32, 32, 32]",0.1119,0.0905,0.6471,0.582,0.519,0.5031,2.2511,
"[32, 32, 32, 32, 32, 32]",0.1115,0.0896,0.6376,0.5793,0.5079,0.4939,2.2187,
"[64, 64]",0.165,0.1143,0.272,0.3018,0.1428,0.1501,0.8667,
"[64, 64, 64]",0.149,0.1084,0.3839,0.4816,0.2042,0.1484,1.2181,
"[64, 64, 64, 64]",0.1125,0.0902,0.6524,0.5755,0.5214,0.492,2.2412,
"[64, 64, 64, 64, 64]",0.1104,0.0884,0.6525,0.5837,0.5247,0.4959,2.2568,
"[64, 64, 64, 64, 64, 64]",0.1155,0.0903,0.6339,0.5693,0.4997,0.4954,2.1983,
"[128, 128]",0.1507,0.1085,0.3658,0.4726,0.2173,0.1589,1.2146,
"[128, 128, 128]",0.1118,0.0894,0.6359,0.5671,0.5064,0.4766,2.1859,
"[128, 128, 128, 128]",0.11,0.0885,0.6614,0.5792,0.5343,0.5058,2.2808,MAX
"[128, 128, 128, 128, 128]",0.1148,0.0919,0.6454,0.5703,0.514,0.4896,2.2193,
"[128, 128, 128, 128, 128, 128]",0.1192,0.093,0.6315,0.5577,0.4692,0.4762,2.1346,
