layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1331,0.1006,0.5469,0.4997,0.2848,0.3577,1.6891,
"[32, 32, 32]",0.1255,0.0954,0.6098,0.5429,0.3428,0.4121,1.9076,
"[32, 32, 32, 32]",0.1311,0.0955,0.6301,0.5567,0.4592,0.4587,2.1048,MAX
"[32, 32, 32, 32, 32]",0.124,0.0972,0.5988,0.5317,0.3464,0.416,1.893,
"[64, 64]",0.1253,0.0966,0.6079,0.5118,0.288,0.4007,1.8083,
"[64, 64, 64]",0.124,0.0961,0.6041,0.5197,0.3028,0.4001,1.8266,
"[64, 64, 64, 64]",0.1157,0.092,0.6254,0.5585,0.435,0.4402,2.059,
"[64, 64, 64, 64, 64]",0.1172,0.094,0.6211,0.5673,0.4162,0.437,2.0417,
"[128, 128]",0.1322,0.0979,0.5896,0.5114,0.2664,0.3697,1.7371,
"[128, 128, 128]",0.127,0.0967,0.6086,0.5326,0.3119,0.4058,1.8589,
"[128, 128, 128, 128]",0.1158,0.0909,0.6231,0.5552,0.4267,0.447,2.0521,
"[128, 128, 128, 128, 128]",0.128,0.0991,0.5999,0.5328,0.3591,0.4181,1.9099,
