layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1312,0.098,0.5928,0.5149,0.3727,0.3845,1.865,
"[32, 32, 32]",0.1249,0.0958,0.6044,0.5355,0.4117,0.43,1.9816,
"[32, 32, 32, 32]",0.1239,0.0966,0.6279,0.5545,0.4629,0.4782,2.1235,
"[32, 32, 32, 32, 32]",0.1268,0.0982,0.6359,0.5593,0.4968,0.4916,2.1836,
"[32, 32, 32, 32, 32, 32]",0.1278,0.0976,0.6263,0.5464,0.4572,0.4683,2.0981,
"[64, 64]",0.1402,0.1018,0.5692,0.4258,0.2551,0.3769,1.627,
"[64, 64, 64]",0.1247,0.096,0.6091,0.5254,0.4014,0.4087,1.9446,
"[64, 64, 64, 64]",0.1181,0.0934,0.6233,0.5409,0.4707,0.4598,2.0946,
"[64, 64, 64, 64, 64]",0.1196,0.0934,0.631,0.5314,0.4933,0.4993,2.155,
"[64, 64, 64, 64, 64, 64]",0.134,0.1007,0.613,0.5343,0.42,0.4677,2.035,
"[128, 128]",0.1325,0.0982,0.5655,0.4657,0.2429,0.3516,1.6257,
"[128, 128, 128]",0.1223,0.094,0.6039,0.513,0.4486,0.4435,2.0089,
"[128, 128, 128, 128]",0.1187,0.0924,0.636,0.557,0.4772,0.4793,2.1495,
"[128, 128, 128, 128, 128]",0.1208,0.0942,0.6324,0.5593,0.4965,0.4904,2.1787,
"[128, 128, 128, 128, 128, 128]",0.1209,0.0939,0.633,0.566,0.4951,0.4963,2.1904,MAX
