layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1393,0.0995,0.5842,0.4882,0.3462,0.3785,1.7971,
"[32, 32, 32]",0.13,0.0991,0.5931,0.535,0.3843,0.4202,1.9325,
"[32, 32, 32, 32]",0.128,0.0981,0.6145,0.5436,0.4409,0.4731,2.0721,
"[32, 32, 32, 32, 32]",0.1269,0.098,0.6258,0.5442,0.4391,0.4806,2.0898,
"[32, 32, 32, 32, 32, 32]",0.138,0.1031,0.5894,0.5234,0.3812,0.4309,1.9248,
"[64, 64]",0.1308,0.0982,0.5892,0.4704,0.3167,0.4083,1.7846,
"[64, 64, 64]",0.1263,0.0962,0.5803,0.5051,0.4147,0.3931,1.8931,
"[64, 64, 64, 64]",0.1177,0.0931,0.6146,0.5411,0.4875,0.4705,2.1138,
"[64, 64, 64, 64, 64]",0.1341,0.1001,0.6353,0.562,0.4667,0.4918,2.1558,
"[64, 64, 64, 64, 64, 64]",0.1142,0.092,0.6473,0.5693,0.5128,0.5007,2.2301,MAX
"[128, 128]",0.1368,0.1021,0.5775,0.3458,0.3315,0.3948,1.6495,
"[128, 128, 128]",0.1257,0.0955,0.6012,0.5271,0.422,0.4335,1.9837,
"[128, 128, 128, 128]",0.1179,0.0922,0.633,0.5552,0.4985,0.4834,2.1701,
"[128, 128, 128, 128, 128]",0.1212,0.0946,0.6291,0.5641,0.4843,0.4808,2.1583,
"[128, 128, 128, 128, 128, 128]",0.123,0.0937,0.6355,0.5568,0.5049,0.5063,2.2036,
