layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1274,0.0965,0.5871,0.5129,0.3783,0.4071,1.8854,
"[32, 32, 32]",0.1205,0.0944,0.6086,0.5413,0.4352,0.4525,2.0376,
"[32, 32, 32, 32]",0.1167,0.0935,0.6284,0.5517,0.4802,0.4755,2.1358,
"[32, 32, 32, 32, 32]",0.1193,0.094,0.6474,0.5686,0.5119,0.4974,2.2253,
"[32, 32, 32, 32, 32, 32]",0.1142,0.0912,0.6537,0.5744,0.5177,0.5034,2.2492,
"[64, 64]",0.1397,0.1006,0.5842,0.5072,0.3488,0.3786,1.8187,
"[64, 64, 64]",0.1212,0.0955,0.5931,0.5286,0.4171,0.4219,1.9607,
"[64, 64, 64, 64]",0.1158,0.0927,0.6212,0.5598,0.4841,0.467,2.132,
"[64, 64, 64, 64, 64]",0.1142,0.0912,0.6459,0.5688,0.5182,0.4994,2.2323,
"[64, 64, 64, 64, 64, 64]",0.1215,0.095,0.6448,0.57,0.4938,0.4887,2.1972,
"[128, 128]",0.1322,0.0987,0.5742,0.4971,0.2687,0.3412,1.6811,
"[128, 128, 128]",0.1236,0.0947,0.6238,0.545,0.4475,0.4474,2.0638,
"[128, 128, 128, 128]",0.1215,0.0947,0.6328,0.5561,0.4655,0.4673,2.1217,
"[128, 128, 128, 128, 128]",0.1167,0.0918,0.6439,0.5716,0.5167,0.4945,2.2267,
"[128, 128, 128, 128, 128, 128]",0.1136,0.091,0.6497,0.5751,0.5261,0.5177,2.2687,MAX
