layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.137,0.1001,0.5711,0.4993,0.2642,0.3713,1.7059,
"[32, 32, 32]",0.1255,0.097,0.5854,0.5304,0.3664,0.4078,1.8899,
"[32, 32, 32, 32]",0.1194,0.0942,0.636,0.5651,0.4964,0.4898,2.1872,
"[32, 32, 32, 32, 32]",0.1308,0.0995,0.6171,0.5416,0.4265,0.451,2.0363,
"[32, 32, 32, 32, 32, 32]",0.1194,0.0944,0.6384,0.5693,0.5041,0.497,2.2089,
"[64, 64]",0.1347,0.0998,0.582,0.451,0.3471,0.3614,1.7413,
"[64, 64, 64]",0.1274,0.0979,0.5838,0.5334,0.3783,0.4164,1.912,
"[64, 64, 64, 64]",0.1141,0.0918,0.6306,0.5483,0.4812,0.4806,2.1407,
"[64, 64, 64, 64, 64]",0.1179,0.0927,0.6377,0.5642,0.4977,0.4846,2.1842,
"[64, 64, 64, 64, 64, 64]",0.1206,0.0946,0.6427,0.5657,0.507,0.4966,2.212,MAX
"[128, 128]",0.1459,0.1048,0.5292,0.2531,0.1627,0.3093,1.2543,
"[128, 128, 128]",0.1249,0.0948,0.6114,0.5289,0.4285,0.4448,2.0136,
"[128, 128, 128, 128]",0.1152,0.0911,0.6221,0.5378,0.4868,0.4761,2.1227,
"[128, 128, 128, 128, 128]",0.1252,0.0936,0.6388,0.5586,0.4832,0.4945,2.1751,
"[128, 128, 128, 128, 128, 128]",0.1144,0.0908,0.6412,0.5672,0.4874,0.4874,2.1832,
