layer_sizes,val_loss,val_mae,PCC_1,PCC_2,PCC_3,PCC_4,Sum,Max
"[32, 32]",0.1495,0.1081,0.3691,0.45,0.1886,0.1752,1.1828,
"[32, 32, 32]",0.115,0.0915,0.6477,0.5541,0.4636,0.4814,2.1468,
"[32, 32, 32, 32]",0.1075,0.0882,0.6678,0.5877,0.529,0.5076,2.2922,
"[32, 32, 32, 32, 32]",0.1102,0.0895,0.6594,0.5918,0.5375,0.514,2.3027,MAX
"[32, 32, 32, 32, 32, 32]",0.1133,0.0901,0.6469,0.5754,0.5138,0.5115,2.2477,
"[64, 64]",0.151,0.1086,0.3602,0.4472,0.1666,0.144,1.118,
"[64, 64, 64]",0.1325,0.0996,0.6257,0.5325,0.4173,0.4536,2.0291,
"[64, 64, 64, 64]",0.1186,0.0942,0.632,0.5478,0.4722,0.4744,2.1265,
"[64, 64, 64, 64, 64]",0.1192,0.0942,0.6438,0.5704,0.5086,0.4976,2.2204,
"[64, 64, 64, 64, 64, 64]",0.1208,0.0923,0.6321,0.5572,0.4929,0.4901,2.1723,
"[128, 128]",0.1635,0.1102,0.5647,0.481,0.2769,0.3805,1.7032,
"[128, 128, 128]",0.1153,0.0912,0.653,0.569,0.4988,0.4925,2.2133,
"[128, 128, 128, 128]",0.1245,0.0958,0.6111,0.5375,0.4268,0.4489,2.0244,
"[128, 128, 128, 128, 128]",0.1101,0.0891,0.6648,0.5945,0.5243,0.5008,2.2843,
"[128, 128, 128, 128, 128, 128]",0.1215,0.0929,0.5977,0.5331,0.4376,0.452,2.0204,
